Vending Machine Name,Product,Qty Sold,Sales
SAMPOERNA UNIVERSITY - Lantai 19,Fruit Tea Freeze,21,IDR 168000.00
SAMPOERNA UNIVERSITY - Lantai 19,Nescafe Coffee Cappuccino,11,IDR 132000.00
SAMPOERNA UNIVERSITY - Lantai 19,Milo,24,IDR 360000.00
SAMPOERNA UNIVERSITY - Lantai 19,Hydro Coco,10,IDR 100000.00
SAMPOERNA UNIVERSITY - Lantai 19,Egg Mayo Sandwich,12,IDR 300000.00
SAMPOERNA UNIVERSITY - Lantai 19,Ultra Slim Chocolate,11,IDR 110000.00
SAMPOERNA UNIVERSITY - Lantai 19,Chacha Milk Chocolate,11,IDR 165000.00
SAMPOERNA UNIVERSITY - Lantai 19,Chiki Twist Grilled Chicken 40G Kecil,9,IDR 72000.00
SAMPOERNA UNIVERSITY - Lantai 19,Pocari Sweat Botol-,23,IDR 230000.00
SAMPOERNA UNIVERSITY - Lantai 19,Pop Mie Rasa Bakso Sapi,5,IDR 40000.00
SAMPOERNA UNIVERSITY - Lantai 19,Twister Mini,12,IDR 180000.00
SAMPOERNA UNIVERSITY - Lantai 19,Ultra Slim Strawberry,15,IDR 150000.00
SAMPOERNA UNIVERSITY - Lantai 19,Lotte Choco Pie,13,IDR 91000.00
SAMPOERNA UNIVERSITY - Lantai 19,Pringles Sour Cream,16,IDR 240000.00
SAMPOERNA UNIVERSITY - Lantai 19,Lychee Drink,1,IDR 12000.00
SAMPOERNA UNIVERSITY - Lantai 19,Coca Cola,4,IDR 40000.00
SAMPOERNA UNIVERSITY - Lantai 19,Kurokato Brownies,2,IDR 40000.00
SAMPOERNA UNIVERSITY - Lantai 19,Lets Be coffee,2,IDR 40000.00
SAMPOERNA UNIVERSITY - Lantai 19,Pringles Original,3,IDR 45000.00
SAMPOERNA UNIVERSITY - Lantai 19,Kinder Bueno,2,IDR 40000.00
SAMPOERNA UNIVERSITY - Lantai 19,Soy Milk-,3,IDR 30000.00
SAMPOERNA UNIVERSITY - Lantai 19,100 +,2,IDR 30000.00
SAMPOERNA UNIVERSITY - Lantai 19,Teh Botol Sosro Kotak,3,IDR 30000.00
SAMPOERNA UNIVERSITY - Lantai 19,Marie Regal,4,IDR 14000.00
